Name,Rank,Tuition and fees,Undergrad Enrollment,Cluster
Arizona State University--Tempe,129,25458.0,41828.0,default_value
Clarkson University,129,46132.0,3257.0,default_value
Colorado State University,129,28374.0,24433.0,default_value
New School,129,45535.0,6792.0,default_value
Hofstra University,133,42160.0,6824.0,default_value
University of Kentucky,133,26334.0,22705.0,default_value
Kansas State University,135,23429.0,19859.0,default_value
Louisiana State University--Baton Rouge,135,27005.0,26156.0,default_value
Mercer University,135,35130.0,4667.0,default_value
New Jersey Institute of Technology,135,30326.0,8008.0,default_value
Rutgers University--Newark,135,29480.0,7713.0,default_value
University of Arkansas,135,23168.0,22159.0,default_value
University of Cincinnati,135,26334.0,25054.0,default_value
University of Mississippi,135,22012.0,18785.0,default_value
George Mason University,143,32582.0,23062.0,default_value
Oregon State University,143,28846.0,24612.0,default_value
Washington State University,143,25673.0,24470.0,default_value
Adelphi University,146,34034.0,4852.0,default_value
Ohio University,146,21208.0,23513.0,default_value
San Diego State University,146,18244.0,29234.0,default_value
St. John Fisher College,146,31880.0,2805.0,default_value
University at Albany--SUNY,146,22244.0,12908.0,default_value
University of Texas--Dallas,146,33654.0,15575.0,default_value
Illinois State University,152,20886.0,18426.0,default_value
Immaculata University,152,35210.0,1790.0,default_value
Oklahoma State University,152,20978.0,21046.0,default_value
University of California--Merced,152,39944.0,6237.0,default_value
University of Illinois--Chicago,152,26526.0,17575.0,default_value
University of La Verne,152,39900.0,2864.0,default_value
University of Massachusetts--Lowell,152,29125.0,13266.0,default_value
Seattle Pacific University,159,38940.0,3202.0,default_value
University of Alabama--Birmingham,159,17654.0,11511.0,default_value
University of Maryland--Baltimore County,159,24492.0,11243.0,default_value
University of Rhode Island,159,28852.0,13641.0,default_value
University of South Florida,159,17325.0,31111.0,default_value
Biola University,164,36696.0,4225.0,default_value
Maryville University of St. Louis,164,27958.0,2795.0,default_value
Missouri University of Science & Technology,164,26152.0,6841.0,default_value
St. John's University,164,39460.0,16210.0,default_value
Virginia Commonwealth University,164,31608.0,24051.0,default_value
Union University,169,30420.0,2829.0,default_value
University of Hawaii--Manoa,169,33764.0,13689.0,default_value
Edgewood College,171,27530.0,1813.0,default_value
Florida Institute of Technology,171,40446.0,3586.0,default_value
University of Idaho,171,22040.0,9116.0,default_value
University of Louisville,171,24626.0,15769.0,default_value
University of Wyoming,171,16215.0,10045.0,default_value
Ball State University,176,25428.0,16602.0,default_value
Lipscomb University,176,29756.0,3030.0,default_value
Mississippi State University,176,20142.0,17421.0,default_value
Montclair State University,176,20318.0,16336.0,default_value
Texas Tech University,176,22861.0,29237.0,default_value
University of Central Florida,176,22467.0,54513.0,default_value
University of New Mexico,176,21302.0,20522.0,default_value
Andrews University,183,27684.0,1733.0,default_value
Azusa Pacific University,183,36120.0,5883.0,default_value
University of Maine,183,29498.0,9297.0,default_value
West Virginia University,183,21432.0,22498.0,default_value
Widener University,183,42870.0,3554.0,default_value
Kent State University,188,18376.0,23607.0,default_value
North Dakota State University,188,19790.0,12037.0,default_value
Pace University,188,42772.0,8747.0,default_value
Robert Morris University,188,28250.0,4497.0,default_value
Suffolk University,188,35578.0,5565.0,default_value
University of Hartford,188,37790.0,5246.0,default_value
Bowling Green State University,194,18332.0,14334.0,default_value
University of Houston,194,25410.0,34716.0,default_value
Western Michigan University,194,25713.0,18567.0,default_value
Indiana University-Purdue University--Indianapolis,197,29791.0,21985.0,default_value
Lesley University,197,25750.0,1520.0,default_value
